time_s,linear_x,linear_y,linear_z,angular_x,angular_y,angular_z
0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.5034,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.6069,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000
1.0121,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.5165,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.5460,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1.5808,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000
2.0843,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000
2.1141,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000
2.1452,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000
2.1750,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000
2.2061,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000
2.2110,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.7155,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.7470,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.7766,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2.8029,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000
2.9285,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.0101,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000
3.1303,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.2259,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000
3.3515,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.4422,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000
3.5471,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.6281,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000
3.7477,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.8187,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000
3.9098,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
3.9898,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000
4.1360,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.2211,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000
4.3507,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
4.5685,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.0708,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.1021,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.1316,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.1616,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.1933,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.2236,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.2545,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.2856,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.3139,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.3460,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.3769,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.4049,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.4376,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.4669,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.4973,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.5277,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.5597,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.5879,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.6178,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.6471,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
5.6500,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000
6.1544,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000
6.1835,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000
6.2139,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000
6.2313,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6.7343,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6.7651,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6.7946,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6.8262,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6.8573,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6.8882,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6.9168,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6.9494,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
6.9525,0.0000,0.0000,0.0000,0.0000,0.0000,-2.0000
7.4495,0.0000,0.0000,0.0000,0.0000,0.0000,-2.0000
7.4809,0.0000,0.0000,0.0000,0.0000,0.0000,-2.0000
7.5104,0.0000,0.0000,0.0000,0.0000,0.0000,-2.0000
7.5435,0.0000,0.0000,0.0000,0.0000,0.0000,-2.0000
7.5717,0.0000,0.0000,0.0000,0.0000,0.0000,-2.0000
7.6021,0.0000,0.0000,0.0000,0.0000,0.0000,-2.0000
7.6353,0.0000,0.0000,0.0000,0.0000,0.0000,-2.0000
7.6652,0.0000,0.0000,0.0000,0.0000,0.0000,-2.0000
7.6951,0.0000,0.0000,0.0000,0.0000,0.0000,-2.0000
7.7256,0.0000,0.0000,0.0000,0.0000,0.0000,-2.0000
7.7561,0.0000,0.0000,0.0000,0.0000,0.0000,-2.0000
7.7848,0.0000,0.0000,0.0000,0.0000,0.0000,-2.0000
7.8156,0.0000,0.0000,0.0000,0.0000,0.0000,-2.0000
7.8446,0.0000,0.0000,0.0000,0.0000,0.0000,-2.0000
7.8749,0.0000,0.0000,0.0000,0.0000,0.0000,-2.0000
7.9040,0.0000,0.0000,0.0000,0.0000,0.0000,-2.0000
7.9344,0.0000,0.0000,0.0000,0.0000,0.0000,-2.0000
7.9653,0.0000,0.0000,0.0000,0.0000,0.0000,-2.0000
7.9937,0.0000,0.0000,0.0000,0.0000,0.0000,-2.0000
8.0245,0.0000,0.0000,0.0000,0.0000,0.0000,-2.0000
8.0378,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8.5437,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8.5741,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8.6032,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8.6349,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8.6649,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8.6951,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8.7263,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8.7583,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8.7875,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8.8161,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8.8477,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8.8784,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8.9087,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8.9378,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8.9685,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
8.9987,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
9.0297,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000
